user,timestamp,source_ip,country,device,success,mfa_used,alert,reason,severity
admin@corp.com,2026-05-26 07:08:30,197.32.10.1,USA,Windows 11,True,False,True,No MFA,Low
admin@corp.com,2026-05-26 09:35:30,185.220.101.5,Egypt,Windows 11,False,False,True,Suspicious IP | Failed login | No MFA | Brute Force Attempt,High
admin@corp.com,2026-05-26 16:31:30,45.33.32.156,China,Unknown,False,True,True,Suspicious country | Suspicious IP | Failed login | Brute Force Attempt,High
admin@corp.com,2026-05-26 22:34:30,197.32.10.1,China,MacOS,True,False,True,Suspicious country | No MFA,High
admin@corp.com,2026-05-26 22:52:30,10.0.0.5,Egypt,MacOS,True,False,True,No MFA | Impossible Travel,High
admin@corp.com,2026-05-26 23:23:30,10.0.0.5,Egypt,Windows 11,False,True,True,Failed login | Brute Force Attempt,High
admin@corp.com,2026-05-27 03:53:30,197.32.10.1,USA,Unknown,False,False,True,Failed login | No MFA | Brute Force Attempt,High
admin@corp.com,2026-05-27 07:22:30,185.220.101.5,USA,MacOS,True,False,True,Suspicious IP | No MFA,High
admin@corp.com,2026-05-27 12:06:30,185.220.101.5,Egypt,MacOS,True,False,True,Suspicious IP | No MFA,High
admin@corp.com,2026-05-27 15:02:30,197.32.10.2,Egypt,MacOS,True,False,True,No MFA,Low
admin@corp.com,2026-05-28 04:56:30,185.220.101.5,USA,Unknown,True,True,True,Suspicious IP,High
admin@corp.com,2026-05-28 12:10:30,197.32.10.1,Egypt,Unknown,True,False,True,No MFA,Low
admin@corp.com,2026-05-28 23:54:30,45.33.32.156,Russia,Unknown,True,True,True,Suspicious country | Suspicious IP,High
admin@corp.com,2026-05-29 06:49:30,10.0.0.5,Russia,Unknown,True,False,True,Suspicious country | No MFA,High
admin@corp.com,2026-05-29 07:13:30,197.32.10.2,China,Windows 11,True,True,True,Suspicious country | Impossible Travel,High
admin@corp.com,2026-05-30 13:20:30,185.220.101.5,China,MacOS,True,True,True,Suspicious country | Suspicious IP,High
admin@corp.com,2026-05-31 02:08:30,185.220.101.5,Egypt,Windows 11,True,True,True,Suspicious IP,High
admin@corp.com,2026-05-31 05:27:30,197.32.10.1,Russia,MacOS,True,True,True,Suspicious country,High
admin@corp.com,2026-05-31 07:45:30,45.33.32.156,USA,MacOS,True,True,True,Suspicious IP,High
admin@corp.com,2026-05-31 08:20:30,197.32.10.2,USA,Windows 11,True,False,True,No MFA,Low
admin@corp.com,2026-05-31 11:36:30,45.33.32.156,USA,Unknown,True,True,True,Suspicious IP,High
admin@corp.com,2026-06-01 03:35:30,10.0.0.5,Russia,Unknown,True,True,True,Suspicious country,High
ahmed@corp.com,2026-05-25 15:05:30,10.0.0.5,Russia,MacOS,False,True,True,Suspicious country | Failed login | Brute Force Attempt,High
ahmed@corp.com,2026-05-25 15:58:30,197.32.10.1,Egypt,Unknown,False,False,True,Failed login | No MFA | Impossible Travel | Brute Force Attempt,High
ahmed@corp.com,2026-05-25 18:47:30,197.32.10.1,USA,MacOS,False,True,True,Failed login | Brute Force Attempt,High
ahmed@corp.com,2026-05-26 08:22:30,197.32.10.1,China,Unknown,True,False,True,Suspicious country | No MFA,High
ahmed@corp.com,2026-05-26 12:22:30,197.32.10.2,Egypt,Linux,True,False,True,No MFA,Low
ahmed@corp.com,2026-05-26 15:02:30,10.0.0.5,Egypt,MacOS,False,False,True,Failed login | No MFA | Brute Force Attempt,High
ahmed@corp.com,2026-05-26 21:22:30,10.0.0.5,China,Windows 11,True,True,True,Suspicious country,High
ahmed@corp.com,2026-05-27 05:12:30,185.220.101.5,USA,Linux,True,True,True,Suspicious IP,High
ahmed@corp.com,2026-05-27 16:19:30,185.220.101.5,Egypt,Windows 11,True,True,True,Suspicious IP,High
